"filename", "language", "JSON", "Properties", "Markdown", "JavaScript", "TypeScript", "CSS", "HTML", "SCSS", "XML", "comment", "blank", "total"
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\edit-profile\edit-profile.component.html", "HTML", 0, 0, 0, 0, 0, 0, 281, 0, 0, 18, 12, 311
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\edit-profile\edit-profile.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\edit-profile\edit-profile.component.ts", "TypeScript", 0, 0, 0, 0, 243, 0, 0, 0, 0, 20, 26, 289
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\my-orders\my-orders.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\my-orders\my-orders.component.html", "HTML", 0, 0, 0, 0, 0, 0, 104, 0, 0, 4, 2, 110
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\my-orders\my-orders.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\my-orders\my-orders.component.ts", "TypeScript", 0, 0, 0, 0, 82, 0, 0, 0, 0, 2, 18, 102
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\my-profile.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\my-profile.component.html", "HTML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\my-profile.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\my-profile.component.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\sidebar\sidebar.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\sidebar\sidebar.component.html", "HTML", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 24
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\sidebar\sidebar.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\sidebar\sidebar.component.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\product-details\product-details.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\product-details\product-details.component.html", "HTML", 0, 0, 0, 0, 0, 0, 89, 0, 0, 7, 10, 106
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\product-details\product-details.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\product-details\product-details.component.ts", "TypeScript", 0, 0, 0, 0, 130, 0, 0, 0, 0, 26, 23, 179
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\register\register.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\register\register.component.html", "HTML", 0, 0, 0, 0, 0, 0, 291, 0, 0, 19, 18, 328
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\register\register.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\register\register.component.ts", "TypeScript", 0, 0, 0, 0, 226, 0, 0, 0, 0, 35, 25, 286
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\shared\add-to-cart\add-to-cart.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\shared\add-to-cart\add-to-cart.component.html", "HTML", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 14
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\shared\add-to-cart\add-to-cart.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\shared\add-to-cart\add-to-cart.component.ts", "TypeScript", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 10, 59
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\shared\pagination\pagination.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\shared\pagination\pagination.component.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\shared\pagination\pagination.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\shared\pagination\pagination.component.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\shopping-cart\shopping-cart.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\shopping-cart\shopping-cart.component.html", "HTML", 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 2, 59
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\shopping-cart\shopping-cart.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\shopping-cart\shopping-cart.component.ts", "TypeScript", 0, 0, 0, 0, 107, 0, 0, 0, 0, 19, 26, 152
"c:\xampp\htdocs\SwissTech\frontend\src\app\helpers\CustomValidators.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 5, 4, 28
"c:\xampp\htdocs\SwissTech\frontend\src\app\helpers\admin.guard.ts", "TypeScript", 0, 0, 0, 0, 24, 0, 0, 0, 0, 2, 8, 34
"c:\xampp\htdocs\SwissTech\frontend\src\app\helpers\auth.guard.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 2, 4, 24
"c:\xampp\htdocs\SwissTech\frontend\src\app\helpers\error.interceptor.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 0, 0, 0, 2, 9, 34
"c:\xampp\htdocs\SwissTech\frontend\src\app\helpers\token.interceptor.ts", "TypeScript", 0, 0, 0, 0, 21, 0, 0, 0, 0, 1, 5, 27
"c:\xampp\htdocs\SwissTech\frontend\src\app\models\Manufacturer.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\xampp\htdocs\SwissTech\frontend\src\app\models\categories.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"c:\xampp\htdocs\SwissTech\frontend\src\app\models\comments.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"c:\xampp\htdocs\SwissTech\frontend\src\app\models\creditcard.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\xampp\htdocs\SwissTech\frontend\src\app\models\customer.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 22
"c:\xampp\htdocs\SwissTech\frontend\src\app\models\order.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 1, 16
"c:\xampp\htdocs\SwissTech\frontend\src\app\models\paymentorder.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\xampp\htdocs\SwissTech\frontend\src\app\models\product.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
"c:\xampp\htdocs\SwissTech\frontend\src\app\models\shopping-cart.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\xampp\htdocs\SwissTech\frontend\src\app\models\status.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\xampp\htdocs\SwissTech\frontend\src\app\models\user.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 12
"c:\xampp\htdocs\SwissTech\frontend\src\app\services\alert.service.ts", "TypeScript", 0, 0, 0, 0, 35, 0, 0, 0, 0, 4, 9, 48
"c:\xampp\htdocs\SwissTech\frontend\src\app\services\authentication.service.ts", "TypeScript", 0, 0, 0, 0, 36, 0, 0, 0, 0, 3, 11, 50
"c:\xampp\htdocs\SwissTech\frontend\src\app\services\categories.service.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 5, 23
"c:\xampp\htdocs\SwissTech\frontend\src\app\services\comments.service.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 7, 27
"c:\xampp\htdocs\SwissTech\frontend\src\app\services\data.service.ts", "TypeScript", 0, 0, 0, 0, 30, 0, 0, 0, 0, 2, 9, 41
"c:\xampp\htdocs\SwissTech\frontend\src\app\services\orders.service.ts", "TypeScript", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 9, 52
"c:\xampp\htdocs\SwissTech\frontend\src\app\services\product.service.ts", "TypeScript", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 14, 59
"c:\xampp\htdocs\SwissTech\frontend\src\app\services\user.service.ts", "TypeScript", 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 7, 116
"c:\xampp\htdocs\SwissTech\frontend\src\assets\images\icons\add-cart.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 54, 1, 1, 56
"c:\xampp\htdocs\SwissTech\frontend\src\assets\images\icons\add.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 48, 1, 1, 50
"c:\xampp\htdocs\SwissTech\frontend\src\assets\images\icons\logout.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 50, 1, 1, 52
"c:\xampp\htdocs\SwissTech\frontend\src\assets\images\icons\minus.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\xampp\htdocs\SwissTech\frontend\src\assets\images\icons\remove.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\xampp\htdocs\SwissTech\frontend\src\assets\images\icons\shopping-cart.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 43, 1, 1, 45
"c:\xampp\htdocs\SwissTech\frontend\src\assets\images\icons\user.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\xampp\htdocs\SwissTech\frontend\src\assets\scss\base\_reset.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\SwissTech\frontend\src\assets\scss\base\_typo.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\xampp\htdocs\SwissTech\frontend\src\assets\scss\component\card.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 5, 19
"c:\xampp\htdocs\SwissTech\frontend\src\assets\scss\layout\_footer.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\SwissTech\frontend\src\assets\scss\layout\_header.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 5, 17
"c:\xampp\htdocs\SwissTech\frontend\src\assets\scss\pages\_home.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\SwissTech\frontend\src\assets\scss\pages\_login.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\SwissTech\frontend\src\assets\scss\pages\_register.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 5, 52
"c:\xampp\htdocs\SwissTech\frontend\src\assets\scss\style.css", "CSS", 0, 0, 0, 0, 0, 28, 0, 0, 0, 1, 8, 37
"c:\xampp\htdocs\SwissTech\frontend\src\assets\scss\style.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 11, 0, 6, 7, 24
"c:\xampp\htdocs\SwissTech\frontend\src\assets\scss\utilities\_mixins.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 0, 6
"c:\xampp\htdocs\SwissTech\frontend\src\assets\scss\utilities\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2
"c:\xampp\htdocs\SwissTech\frontend\src\assets\scss\vendors\_boostrap.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\xampp\htdocs\SwissTech\frontend\src\environments\environment.prod.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\xampp\htdocs\SwissTech\frontend\src\environments\environment.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 11, 3, 18
"c:\xampp\htdocs\SwissTech\frontend\src\index.html", "HTML", 0, 0, 0, 0, 0, 0, 23, 0, 0, 1, 7, 31
"c:\xampp\htdocs\SwissTech\frontend\src\main.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
"c:\xampp\htdocs\SwissTech\frontend\src\polyfills.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 55, 8, 64
"c:\xampp\htdocs\SwissTech\frontend\src\styles.css", "CSS", 0, 0, 0, 0, 0, 61, 0, 0, 0, 1, 15, 77
"c:\xampp\htdocs\SwissTech\frontend\src\test.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 4, 6, 23
"c:\xampp\htdocs\SwissTech\frontend\tsconfig.app.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\xampp\htdocs\SwissTech\frontend\tsconfig.json", "JSON", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\xampp\htdocs\SwissTech\frontend\tsconfig.spec.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\xampp\htdocs\SwissTech\frontend\tslint.json", "JSON", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91
"Total", "-", 13655, 10, 14, 53, 3142, 89, 1878, 96, 198, 402, 929, 20466